prop,L1,L2,Weight,Servo1,Servo2,Servo3,Servo4,Servo5,Servo6
0.381,0.682,0.592,2.0640718540085,X20-7512,SSPS-105,S9120BL,D5545GS,D5545GS,D5545GS
0.2794,0.5096,0.4396,1.7918069480085,PGS-CX II,SSPS-105,X   20-7512,D5545GS,D5545GS,D5545GS
0.4064,0.7146,0.6386,2.2603302130085,S9110BL,SSPS-105,BLS-125AWB,D5545GS,D5545GS,D5545GS
0.4318,0.7502,0.6822,2.29754787700849,S9120BL,SSPS-105,BLS-125AWB,D5545GS,D5545GS,D5545GS
0.1524,0.2646,0.2606,0.981345648008495,CLS6036HV,S9120BL,PGS-CX II,D5545GS,D5545GS,D5545GS
0.1651,0.28965,0.27865,1.0015992000085,CLS6036HV,S9120BL,PGS-CX II,D5545GS,D5545GS,D5545GS
0.1778,0.3157,0.2957,1.0618255470085,PGS-CL II,BLS-125AWB,PGS-CX II,D5545GS,D5545GS,D5545GS
0.1905,0.32925,0.32525,1.0820790990085,PGS-CL II,BLS-125AWB,PGS-CX II,D5545GS,D5545GS,D5545GS
0.127,0.206,0.233,0.810430844008495,MD5301H,X20-7512,PGS-CX II,D5545GS,D5545GS,D5545GS
0.1397,0.23355,0.24855,0.961092096008495,CLS6036HV,S9110BL,PGS-CX II,D5545GS,D5545GS,D5545GS
0.2032,0.3598,0.3368,1.1183054410085,BMS-4112,BLS-125AWB,PGS-CX II,D5545GS,D5545GS,D5545GS
0.2159,0.39485,0.34485,1.2913627980085,BMS-4112,HB135WP-12,PGS-CX II,D5545GS,D5545GS,D5545GS
0.2286,0.3929,0.3889,1.3312745750085,D5545GS,HB135WP-12,X20-7512,D5545GS,D5545GS,D5545GS
0.254,0.448,0.418,1.7527096040085,PGS-CX II,SSPS-105,X20-7512,D5545GS,D5545GS,D5545GS
0.2667,0.48155,0.42555,1.7720233160085,PGS-CX II,SSPS-105,X20-7512,D5545GS,D5545GS,D5545GS
0.3048,0.5337,0.4977,1.9390129570085,PGS-CX II,SSPS-105,S9120BL,D5545GS,D5545GS,D5545GS
0.3302,0.5673,0.5463,1.9886966860085,X20-7512,SSPS-105,S9120BL,D5545GS,D5545GS,D5545GS
0.3429,0.59835,0.55535,2.0075404780085,X20-7512,SSPS-105,S9120BL,D5545GS,D5545GS,D5545GS
0.3556,0.6084,0.5854,2.0263842700085,X20-7512,SSPS-105,S9120BL,D5545GS,D5545GS,D5545GS
0.3683,0.65195,0.58195,2.0452280620085,X20-7512,SSPS-105,S9120BL,D5545GS,D5545GS,D5545GS
0.508,0.8875,0.7765,2.60964726400849,BLS-125AWB,SSPS-105,HB135WP-12,D5545GS,D5545GS,D5545GS
0.4572,0.7993,0.7103,2.33382570100849,S9120BL,SSPS-105,BLS-125AWB,D5545GS,D5545GS,D5545GS
