Name,Company,Max Voltage (Cells),Min Voltage (V),Max Current (A),Peak Current (A),Weight (g),Price ($),Throttle Response Speed (ms),Min Thr (us),Max The (us),Throttle Refresh Frequency (Hz),Link,Disc
ALPHA 40A 6S FOC Multi-Rotor UAVs ESC,Tmotor,6,18,40,60,54.5,70,120,1100,1940,500,https://store.tmotor.com/product/alpha-40a-6s-esc.html,
ALPHA 60A 6S Multi-Rotor Drone FOC ESC,Tmotor,6,18,40,60,62.8,70,50,1100,1940,500,https://store.tmotor.com/product/alpha-60a-6s-esc.html,
ALPHA 60A 12S V1.2 Multi-Rotor Drone FOC ESC,Tmotor,12,18,60,80,73,110,300,1100,1940,500,https://store.tmotor.com/product/alpha-60a-12s-esc.html,
ALPHA 60A 24S Multi-Rotor UAV FOC ESC,Tmotor,24,18,40,60,360,300,50,1100,1900,500,https://store.tmotor.com/product/alpha-60a-24s-esc.html,
ALPHA 80A 12S Multi-Rotor Drone ESC,Tmotor,12,18,80,100,110,130,300,1100,1940,500,https://store.tmotor.com/product/alpha-80a-12s-esc.html,
ALPHA 120A 12S FOC Multi-Rotor UAVs ESC,Tmotor,12,18,100,120,360,170,150,1100,1940,500,https://store.tmotor.com/product/alpha-120a-12s-esc.html,
Thunder 12~24S 200A High Power UAVs ESC,Tmotor,24,32.4,120,220,620,1150,,,,400,https://store.tmotor.com/product/thunder-200a-esc.html,
AIR 40A 2-6S Multi-Rotor UAV Drone ESC,Tmotor,6,5.4,40,60,26,40,,,,621,https://store.tmotor.com/product/air-40a-6s-esc.html,
FLAME 60A 12S V2.0 Multi-Rotor UAVs ESC,Tmotor,12,16.2,60,80,73.5,100,,,,621,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,
FLAME 70A 6S Multi-Rotor Drone ESC 4-6S Controller,Tmotor,6,10.8,70,80,55,70,,,,621,https://store.tmotor.com/product/flame-70a-6s-esc.html,
FLAME 80A 12S V2.0 Multi-Rotor UAVs ESC,Tmotor,12,16.2,80,120,109,120,,,,621,https://store.tmotor.com/product/flame-80a-12s-v2-esc.html,
FLAME 100A 8S Multi-Rotor UAVs ESC,Tmotor,8,10.8,100,120,78.5,90,,,,621,https://store.tmotor.com/product/flame-100a-6s-esc.html,
FLAME 100A 14S Multi-Rotor UAVs ESC,Tmotor,14,16.2,100,120,139,130,,,,621,https://store.tmotor.com/product/flame-100a-14s-esc.html,
FLAME 180A 12S V2.0 Multi-Rotor UAVs ESC,Tmotor,12,16.2,180,200,279,260,,,,621,https://store.tmotor.com/product/flame-180a-12s-v2-esc.html,
FLAME 200A 14S Multi-Rotor UAVs ESC,Tmotor,14,16.2,200,240,558,500,,,,621,https://store.tmotor.com/product/flame200a-14s-esc.html,
